TED_source	TED_ref	Facebook-AI	Manifold	metricsystem1	metricsystem2	metricsystem3	metricsystem4	metricsystem5	Nemo	NiuTrans	Online-A	Online-B	Online-G	Online-W	Online-Y
That song has been ringing through space for all that time.	Все это время, их песня звучит в космосе.	Эта песня звучала в космосе все это время.	Эта песня звучала в космосе все это время.	Эта песня все это время звучала в космосе.	Эта песня все время звучит в космосе.	Эта песня звучит в космосе все это время.	Эта песня все это время звучала в космосе.	Эта песня все это время звенела в космосе.	Эта песня звучала в космосе все это время.	Эта песня все это время звучала в пространстве.	Эта песня звенела в пространстве все это время.	Эта песня все время звучит в космосе.	Эта песня звенела в космосе все это время.	Эта песня звучала в космосе все это время.	Эта песня все это время звонит в космосе.
We weren't even here.	Мы еще даже не появились на свет.	Мы даже не были здесь.	Нас даже здесь не было.	Мы даже не были здесь.	Нас здесь даже не было.	Мы даже не были здесь.	Мы даже не были здесь.	Нас даже здесь не было.	Мы даже здесь не были.	Нас здесь даже не было.	Нас здесь даже не было.	Нас здесь даже не было.	Нас здесь даже не было.	Нас здесь даже не было.	Нас здесь даже не было.
It gets closer and closer -- 40,000 years ago, we're still doing cave paintings.	Звук приближается, ближе и ближе — 40 тыс. лет назад, мы все еще делаем наскальные рисунки.	Он становится все ближе и ближе - 40 000 лет назад, мы все еще делаем наскальные рисунки.	Она становится все ближе и ближе - 40 000 лет назад мы все еще делали наскальные рисунки.	Это становится все ближе и ближе — 40 000 лет назад мы все еще рисуем наскальные рисунки.	Это становится все ближе и ближе - 40 000 лет назад мы все еще делаем наскальные рисунки.	Все ближе и ближе - 40000 лет назад мы все еще делаем наскальные рисунки.	Это все ближе и ближе - 40 000 лет назад мы все еще рисуем наскальные рисунки.	Это становится все ближе и ближе - 40 000 лет назад мы все еще делаем наскальные рисунки.	Она становится все ближе и ближе - 40 000 лет назад мы все еще делали наскальные рисунки.	Она становится все ближе и ближе - 40 000 лет назад мы до сих пор делаем наскальные рисунки.	Он становится все ближе и ближе - 40 000 лет назад мы все еще делали наскальные рисунки.	Это становится все ближе и ближе - 40 000 лет назад мы все еще делаем наскальные рисунки.	Это становится все ближе и ближе-40 000 лет назад мы все еще делали наскальные рисунки.	Она становится все ближе и ближе - 40 000 лет назад мы все еще делали наскальные рисунки.	Все ближе и ближе — 40 000 лет назад мы все еще занимаемся наскальными росписями.
If it was the Big Bang we were going to pick up, it would sound like this.	Если бы мы собирались «услышать» Большой взрыв, он бы прозвучал вот так.	Если бы это был Большой Взрыв, который мы собирались уловить, это звучало бы так.	Если бы это был Большой взрыв, который мы собирались забрать, это звучало бы так.	Если бы мы собирались запечатлеть Большой Взрыв, это звучало бы так.	Если бы мы собирались уловить Большой взрыв, это звучало бы так.	Если бы это был Большой взрыв, который мы собирались поднять, это звучало бы так.	Если бы это был Большой Взрыв, то это звучало бы так.	Если бы это был Большой взрыв, который мы собирались поднять, это звучало бы так.	Если бы это был Большой взрыв, который мы собирались поднять, это звучало бы так.	Если бы это был Большой взрыв, который мы собирались подхватить, он звучал бы так.	Если бы это был Большой взрыв, который мы собирались поднять, это звучало бы так.	Если бы мы собирались уловить Большой взрыв, это звучало бы так.	Если бы это был Большой Взрыв, который мы собирались поднять, это звучало бы так.	Если бы это был Большой взрыв, который мы собирались поднять, он бы звучал так.	Если бы это был Большой Взрыв, который мы собирались подхватить, это было бы так.
It's literally the definition of noise.	Шум в чистом виде.	Это в буквальном смысле определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.	Это буквально определение шума.
It's white noise; it's such a chaotic ringing.	Это белый шум, просто хаотичные звуки.	Это белый шум, это такой хаотичный звон.	Это белый шум, это такой хаотичный звон.	Это белый шум, это такой хаотичный звон.	Это белый шум, такой хаотичный звон.	Это белый шум, это такой хаотичный звон.	Это белый шум, это такой хаотичный звон.	Это белый шум, это такой хаотичный звон.	Это белый шум, это такой хаотичный звон.	Это белый шум, это такой хаотичный звон.	Это белый шум; это такой хаотичный звон.	Это белый шум; это такой хаотичный звон.	Это белый шум, такой хаотичный звон.	Это белый шум; это такой хаотичный звон.	Это белый шум, такой хаотичный звон.
But it's around us everywhere, presumably, if it hasn't been wiped out by some other process in the universe.	Но он, вероятно, повсюду окружает нас, если его не заглушили какие-то другие процессы во вселенной.	Но она вокруг нас повсюду, по-видимому, если она не была уничтожена каким-то другим процессом во Вселенной.	Но это вокруг нас повсюду, предположительно, если бы это не было уничтожено каким-то другим процессом во Вселенной.	Но, по-видимому, он повсюду вокруг нас, если он не был уничтожен каким-то другим процессом во вселенной.	Но, по-видимому, он повсюду вокруг нас, если он не был уничтожен каким-то другим процессом во Вселенной.	Но это вокруг нас везде, по-видимому, если оно не было уничтожено каким-либо другим процессом во вселенной.	Но, по-видимому, он повсюду вокруг нас, если он не был уничтожен каким-то другим процессом во Вселенной.	Но он вокруг нас повсюду, предположительно, если он не был уничтожен каким-то другим процессом во вселенной.	Но она вокруг нас повсюду, предположительно, если она не была уничтожена каким-то другим процессом во Вселенной.	Но она вокруг нас повсюду, вероятно, если она не была уничтожена каким-то другим процессом во Вселенной.	Но она повсюду вокруг нас, по-видимому, если она не была уничтожена каким-то другим процессом во Вселенной.	Но, по-видимому, он повсюду вокруг нас, если он не был уничтожен каким-то другим процессом во Вселенной.	Но он, по-видимому, повсюду вокруг нас, если его не уничтожил какой-то другой процесс во Вселенной.	Но он окружает нас повсюду, предположительно, если он не был стерт каким-то другим процессом во Вселенной.	Но он вокруг нас повсюду, предположительно, если он не был уничтожен каким-то другим процессом во Вселенной.
And if we pick it up, it will be music to our ears because it will be the quiet echo of that moment of our creation, of our observable universe.	И если мы уловим его, он будет для нас самой приятной музыкой, ведь это тихое эхо момента нашего сотворения, рождения наблюдаемой Вселенной.	И если мы поднимем его, это будет музыкой для наших ушей, потому что это будет тихим эхом того момента нашего создания, нашей наблюдаемой вселенной.	И если мы поднимем его, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой Вселенной.	И если мы поднимем его, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой вселенной.	И если мы возьмем его в руки, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой Вселенной.	И если мы возьмем это, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего создания, нашей наблюдаемой вселенной.	И если мы поднимем его, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой вселенной.	И если мы поднимем его, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего создания, нашей наблюдаемой вселенной.	И если мы поднимем его, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего создания, нашей наблюдаемой вселенной.	И если мы его подхватим, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой вселенной.	И если мы подхватим его, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой Вселенной.	И если мы возьмем его в руки, это будет музыка для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой Вселенной.	И если мы его подхватим, это будет музыкой для наших ушей, потому что это будет тихое эхо того момента нашего творения, нашей наблюдаемой вселенной.	И если мы его уловим, это будет музыкой для наших ушей, потому что это будет тихий отзвук того момента создания нашей Вселенной, нашей наблюдаемой Вселенной.	И если мы возьмем его, это будет музыка для наших ушей, потому что это будет тихим отголоском того момента нашего творения, нашей наблюдаемой вселенной.
So within the next few years, we'll be able to turn up the soundtrack a little bit, render the universe in audio.	В течение следующих нескольких лет мы сможем немного прибавить громкости, и услышим вселенную в звуке.	Так что в течение следующих нескольких лет мы сможем немного увеличить звуковую дорожку, воспроизвести вселенную в звуке.	Так что в ближайшие несколько лет мы сможем немного развернуть саундтрек, отобразить вселенную в аудио.	Так что в течение следующих нескольких лет мы сможем немного улучшить саундтрек, визуализировать вселенную в аудио.	Так что в ближайшие несколько лет мы сможем немного улучшить саундтрек, визуализировать вселенную в аудио.	Так что в течение следующих нескольких лет мы сможем немного включить саундтрек, визуализировать вселенную в аудио.	Так что в течение следующих нескольких лет мы сможем немного улучшить саундтрек, отобразить вселенную в аудио.	Так что в течение следующих нескольких лет мы сможем немного повысить саундтрек, визуализировать вселенную в аудио.	Таким образом, в течение ближайших нескольких лет мы сможем немного подтянуть саундтрек, отрисовать вселенную в звуке.	Так что в течение ближайших лет мы сможем немного подвернуть саундтрек, сделать вселенную аудио.	Таким образом, в течение следующих нескольких лет мы сможем немного включить саундтрек, отобразить вселенную в аудио.	Так что в ближайшие несколько лет мы сможем немного улучшить саундтрек, визуализировать вселенную в аудио.	Так что в течение следующих нескольких лет мы сможем немного увеличить саундтрек, визуализировать вселенную в аудио.	Так что в ближайшие несколько лет мы сможем немного усилить звуковую дорожку, воспроизвести Вселенную в аудио.	Так что в течение следующих нескольких лет мы сможем немного включить саундтрек, отобразить вселенную в аудио.
But if we detect those earliest moments, it'll bring us that much closer to an understanding of the Big Bang, which brings us that much closer to asking some of the hardest, most elusive, questions.	Но если мы уловим эхо тех ранних событий, это приведет нас намного ближе к пониманию Большого взрыва, а это уже позволит нам задать некоторые из самых сложных, неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого взрыва, что приблизит нас к тому, чтобы задать некоторые из самых трудных, самых неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого взрыва, который приблизит нас к тому, чтобы задавать некоторые из самых трудных, самых трудных вопросов.	Но если мы обнаружим эти самые ранние моменты, это значительно приблизит нас к пониманию Большого Взрыва, что еще больше приблизит нас к тому, чтобы задавать некоторые из самых трудных, самых неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого взрыва, что еще больше приблизит нас к задаче некоторых из самых сложных и труднодостижимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого взрыва, которое намного приблизит нас к задаче некоторых из самых сложных, самых неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого Взрыва, что приблизит нас к тому, чтобы задавать некоторые из самых трудных, самых неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас намного ближе к пониманию Большого взрыва, что намного приблизит нас к тому, чтобы задавать некоторые из самых сложных, самых неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это значительно приблизит нас к пониманию Большого взрыва, что значительно приблизит нас к заданию некоторых из самых трудных, самых труднодостижимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого взрыва, который приблизит нас к тому, чтобы задать некоторые из самых трудных, неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого взрыва, что приблизит нас к тому, чтобы задавать некоторые из самых сложных, самых неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это приблизит нас к пониманию Большого взрыва, что еще больше приблизит нас к задаче некоторых из самых сложных и неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это значительно приблизит нас к пониманию Большого взрыва, что значительно приблизит нас к тому, чтобы задать некоторые из самых трудных, самых трудноуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это еще больше приблизит нас к пониманию Большого взрыва, что еще больше приблизит нас к тому, чтобы задать некоторые из самых трудных, самых неуловимых вопросов.	Но если мы обнаружим эти самые ранние моменты, это значительно приблизит нас к пониманию Большого взрыва, что значительно приблизит нас к заданию самых сложных и неуловимых вопросов.
If we run the movie of our universe backwards, we know that there was a Big Bang in our past, and we might even hear the cacophonous sound of it, but was our Big Bang the only Big Bang?	Прокрутив фильм о нашей вселенной задом наперед, мы узнаем, что в прошлом там был Большой Взрыв, и возможно мы даже услышим его какофонию, но был ли этот взрыв единственным?	Если мы запустим фильм нашей Вселенной назад, мы знаем, что в нашем прошлом был Большой Взрыв, и мы можем даже услышать его какофонический звук, но был ли наш Большой Взрыв единственным Большим Взрывом?	Если мы запустим фильм о нашей Вселенной назад, мы знаем, что в нашем прошлом был Большой Взрыв, и мы могли бы даже услышать его какофонический звук, но был ли наш Большой Взрыв единственным Большим Взрывом?	Если мы прокрутим фильм нашей вселенной в обратном порядке, мы узнаем, что в нашем прошлом был Большой Взрыв, и мы можем даже услышать его какофонический звук, но был ли наш Большой Взрыв единственным Большим Взрывом?	Если мы просмотрим фильм о нашей вселенной в обратном направлении, мы знаем, что в нашем прошлом был Большой взрыв, и мы могли бы даже услышать его какофонический звук, но был ли наш Большой взрыв единственным Большим взрывом?	Если мы запустим фильм о нашей вселенной в обратном направлении, мы знаем, что в нашем прошлом был Большой взрыв, и мы могли бы даже услышать его какофонический звук, но был ли наш Большой взрыв единственным Большим взрывом?	Если мы прокрутим фильм нашей вселенной в обратном порядке, мы узнаем, что в нашем прошлом был Большой Взрыв, и мы можем даже услышать его какофонический звук, но был ли наш Большой Взрыв единственным Большим Взрывом?	Если мы запустим фильм нашей вселенной задом наперед, мы знаем, что в нашем прошлом был Большой взрыв, и мы могли бы даже услышать его какофонический звук, но был ли наш Большой взрыв единственным Большим взрывом?	Если мы запустим фильм о нашей вселенной назад, мы знаем, что в нашем прошлом был Большой взрыв, и мы можем даже услышать его какофонический звук, но был ли наш Большой взрыв единственным Большим взрывом?	Если мы запустим фильм о нашей вселенной назад, мы знаем, что в нашем прошлом был Большой Взрыв, и мы можем даже услышать его какофонический звук, но был ли наш Большой Взрыв единственным Большим Взрывом?	Если мы закрутим фильм о нашей Вселенной в обратном направлении, мы узнаем, что в нашем прошлом был Большой взрыв, и мы можем даже услышать его какофонный звук, но был ли наш Большой взрыв единственным Большим взрывом?	Если мы просмотрим фильм о нашей вселенной в обратном направлении, мы знаем, что в нашем прошлом был Большой взрыв, и мы могли бы даже услышать его какофонический звук, но был ли наш Большой взрыв единственным Большим взрывом?	Если мы прокрутим фильм нашей вселенной назад, мы узнаем, что в нашем прошлом был Большой Взрыв, и мы даже можем услышать его какофонический звук, но был ли наш Большой Взрыв единственным Большим Взрывом?	Если мы прокрутим фильм о нашей Вселенной в обратном порядке, мы узнаем, что в нашем прошлом был Большой взрыв, и мы даже можем услышать его какофонический звук, но был ли наш Большой взрыв единственным Большим взрывом?	Если мы проведем фильм о нашей вселенной назад, мы знаем, что в прошлом был Большой Взрыв, и мы можем даже услышать какофоничный звук этого фильма, но был ли Большой Взрыв единственным Большим Взрывом?
I mean we have to ask, has it happened before?	Я имею в виду — не происходил ли он и до этого?	Я имею в виду, мы должны спросить, случалось ли это раньше?	Я имею в виду, мы должны спросить, случалось ли это раньше?	Я имею в виду, мы должны спросить, было ли это раньше?	Я имею в виду, мы должны спросить, случалось ли это раньше?	Я имею в виду, мы должны спросить, это случилось раньше?	Я имею в виду, мы должны спросить, было ли это раньше?	Я имею в виду, что мы должны спросить, случалось ли это раньше?	Я имею в виду, что мы должны спросить, случалось ли это раньше?	Я имею в виду, что мы должны спросить, случалось ли это раньше?	Я имею в виду, что мы должны спросить, случалось ли это раньше?	Я имею в виду, мы должны спросить, случалось ли это раньше?	Я имею в виду, мы должны спросить, случалось ли это раньше?	Я имею в виду, что мы должны спросить, случалось ли это раньше?	Я имею в виду, мы должны спросить, случалось ли это раньше?
Will it happen again?	Не повторится ли он?	Произойдет ли это снова?	Произойдет ли это снова?	Это повторится?	Это случится снова?	Это случится снова?	Произойдет ли это снова?	Случится ли это снова?	Произойдет ли это снова?	Повторится ли это?	Повторится ли это снова?	Это случится снова?	Случится ли это снова?	Случится ли это снова?	Это повторится?
I mean, in the spirit of rising to TED's challenge to reignite wonder, we can ask questions, at least for this last minute, that honestly might evade us forever.	В духе TED, призывающего нас вернуть себе веру в чудеса, мы можем сейчас задать вопросы, которые всегда ускользали от нас.	Я имею в виду, что в духе восхождения к вызову TED, чтобы возродить чудо, мы можем задавать вопросы, по крайней мере, в эту последнюю минуту, которые, честно говоря, могут ускользнуть от нас навсегда.	Я имею в виду, что в духе ответа на вызов TED возродить чудо, мы можем задавать вопросы, по крайней мере, в последнюю минуту, которые, честно говоря, могут ускользнуть от нас навсегда.	Я имею в виду, что в духе того, чтобы принять вызов TED, чтобы возродить чудо, мы можем задавать вопросы, по крайней мере в эту последнюю минуту, которые, честно говоря, могут ускользнуть от нас навсегда.	Я имею в виду, что в духе того, чтобы принять вызов TED, чтобы возродить чудо, мы можем задавать вопросы, по крайней мере в эту последнюю минуту, которые честно могут ускользнуть от нас навсегда.	Я имею в виду, что в духе решения задачи TED разжечь чудо мы можем задавать вопросы, по крайней мере, в течение этой последней минуты, которые честно могли бы избежать нас навсегда.	Я имею в виду, что в духе принятия вызова TED возродить удивление, мы можем задавать вопросы, по крайней мере в эту последнюю минуту, которые, честно говоря, могут ускользнуть от нас навсегда.	Я имею в виду, в духе подъема к вызову TED, чтобы возродить чудо, мы можем задавать вопросы, по крайней мере, в эту последнюю минуту, которые могут честно уклониться от нас навсегда.	Я имею в виду, что в духе ответа на вызов TED, чтобы возродить удивление, мы можем задавать вопросы, по крайней мере в эту последнюю минуту, которые, честно говоря, могут ускользнуть от нас навсегда.	Я имею в виду, что в духе того, чтобы подняться на вызов TED, чтобы вновь разжечь чудо, мы можем задавать вопросы, по крайней мере в последнюю минуту, которые, честно говоря, могут уклониться от нас навсегда.	Я имею в виду, что в духе того, чтобы поднять вызов TED, чтобы возродить удивление, мы можем задавать вопросы, по крайней мере, в последнюю минуту, которые, честно говоря, могут ускользать от нас навсегда.	Я имею в виду, что в духе того, чтобы принять вызов TED, чтобы возродить чудо, мы можем задавать вопросы, по крайней мере в эту последнюю минуту, которые честно могут ускользнуть от нас навсегда.	Я имею в виду, что в духе ответа на вызов ТЕДА, чтобы снова разжечь удивление, мы можем задавать вопросы, по крайней мере в эту последнюю минуту, которые, честно говоря, могут ускользнуть от нас навсегда.	В духе призыва TED вновь зажечь удивление мы можем задать вопросы, по крайней мере, в эту последнюю минуту, которые, честно говоря, могут ускользнуть от нас навсегда.	Я имею в виду, что в духе того, чтобы TED вновь воспламенил чудо, мы можем задавать вопросы, по крайней мере в последнюю минуту, которые, честно говоря, могут уклоняться от нас навсегда.
But we have to ask: Is it possible that our universe is just a plume off of some greater history?	Но мы должны спросить: возможно ли, что наша Вселенная это всего лишь след какой-то более значимой истории?	Но мы должны спросить: возможно ли, что наша Вселенная - всего лишь шлейф от какой-то великой истории?	Но мы должны спросить: возможно ли, что наша Вселенная - это просто шлейф какой-то великой истории?	Но мы должны спросить: возможно ли, что наша Вселенная — это просто шлейф какой-то великой истории?	Но мы должны спросить: возможно ли, что наша Вселенная - всего лишь шлейф какой-то более великой истории?	Но мы должны спросить: возможно ли, что наша вселенная - это просто шлейф от какой-то большей истории?	Но мы должны спросить: возможно ли, что наша Вселенная - это просто шлейф какой-то большой истории?	Но мы должны спросить: возможно ли, что наша вселенная - это просто шлейф какой-то большей истории?	Но мы должны спросить: возможно ли, что наша Вселенная - это просто шлейф какой-то более великой истории?	Но мы должны спросить: возможно ли, что наша вселенная - это всего лишь шлейф какой-то большей истории?	Но мы должны спросить: возможно ли, что наша Вселенная — это просто шлейф какой-то большей истории?	Но мы должны спросить: возможно ли, что наша Вселенная - всего лишь шлейф какой-то великой истории?	Но мы должны спросить: возможно ли, что наша Вселенная-это просто шлейф какой-то великой истории?	Но мы должны спросить: возможно ли, что наша Вселенная - это просто шлейф какой-то более великой истории?	Но мы должны спросить: возможно ли, что наша Вселенная — это всего лишь отвал от какой-то большой истории?
Or, is it possible that we're just a branch off of a multiverse -- each branch with its own Big Bang in its past -- maybe some of them with black holes playing drums, maybe some without -- maybe some with sentient life, and maybe some without -- not in our past, not in our future, but somehow fundamentally connected to us?	Или — не являемся ли мы лишь одной из ветвей мультивселенной — у каждой из которых был свой Большой взрыв в прошлом? Может, с черными дырами и их «песнями», или без них, может с разумной жизнью, а возможно и без — они не в нашем прошлом, не в нашем будущем, но каким-то образом связаны с нами?	Или возможно, что мы всего лишь ветвь мультивселенной - каждая ветвь со своим собственным Большим взрывом в прошлом - может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без - может быть, некоторые с разумной жизнью, а может быть, некоторые без - не в нашем прошлом, не в нашем будущем, но каким-то образом фундаментально связаны с нами?	Или возможно, что мы всего лишь ответвление от множества - каждая ветвь со своим собственным Большим Взрывом в прошлом - может быть, некоторые из них с черными дырами играют на барабанах, может быть, некоторые без - может быть, некоторые с чувственной жизнью, а может быть, некоторые без - не в нашем прошлом, не в нашем будущем, но как-то фундаментально связаны с нами?	Или, возможно, мы просто ответвление мультивселенной — каждая ветвь со своим Большим Взрывом в прошлом — может быть, некоторые из них с черными дырами, играющими на барабанах, может, некоторые без — может быть, некоторые с разумной жизнью, а некоторые без — не в нашем прошлом, не в нашем будущем, но как-то фундаментально связаны с нами?	Или, возможно, мы просто ответвление мультивселенной - каждая ветвь со своим собственным Большим взрывом в прошлом - может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без - может быть, некоторые с разумной жизнью, а может быть, некоторые без - не в нашем прошлом, не в нашем будущем, но каким-то образом фундаментально связаны с нами?	Или, возможно, мы являемся просто ветвью мультивселенной - каждая ветвь имеет свой Большой Взрыв в прошлом - может быть, некоторые из них с черными дырами, играющими на барабанах, возможно, некоторые без - возможно, некоторые с разумной жизнью, а некоторые - без - не в нашем прошлом, не в нашем будущем, но каким-то образом фундаментально связаны с нами?	Или возможно, что мы просто ответвление мультивселенной — каждая ветвь со своим собственным Большим Взрывом в прошлом — может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без — возможно, некоторые с разумной жизнью, а некоторые без — не в нашем прошлом, не в нашем будущем, но как-то фундаментально связаны с нами?	Или, возможно, что мы просто ответвление мультивселенной - каждая ветвь со своим собственным Большим взрывом в своем прошлом - может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без - может быть, некоторые с разумной жизнью, а может быть, некоторые без - не в нашем прошлом, не в нашем будущем, но каким-то фундаментально связанным с нами?	Или, возможно, мы всего лишь ветвь мультивселенной - каждая ветвь со своим собственным Большим взрывом в прошлом - может быть, некоторые из них с черными дырами играют на барабанах, может быть, некоторые без - может быть, некоторые с разумной жизнью, а может быть, некоторые без - не в нашем прошлом, не в нашем будущем, но как-то фундаментально связаны с нами?	Или, возможно ли, что мы просто ветвь от мультиверса - каждая ветвь со своим собственным Большим Взрывом в прошлом - может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без - может быть, некоторые с чувствующей жизнью, а может быть, некоторые без - не в нашем прошлом, не в нашем будущем, но как-то принципиально связаны с нами?	Или, возможно, что мы просто ветвь мультивселенной - каждая ветвь со своим большим взрывом в прошлом - может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без - может быть, некоторые с разумной жизнью, а некоторые без - не в нашем прошлом, не в нашем будущем, но каким-то образом фундаментально связанные с нами?	Или, возможно, мы всего лишь ответвление мультивселенной - каждая ветвь со своим собственным Большим взрывом в прошлом - может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без - может быть, некоторые с разумной жизнью , и, может быть, некоторые без - не в нашем прошлом, не в нашем будущем, но как-то фундаментально связаны с нами?	Или, возможно ли, что мы просто ветвь мультивселенной-каждая ветвь со своим собственным Большим Взрывом в прошлом-может быть, некоторые из них с черными дырами, играющими на барабанах, может быть, некоторые без-может быть, некоторые с разумной жизнью, а может быть, некоторые без-не в нашем прошлом, не в нашем будущем, но каким-то образом фундаментально связаны с нами?	Или возможно ли, что мы просто ответвление от мультивселенной - каждая ветвь со своим собственным Большим взрывом в прошлом - возможно, некоторые из них с черными дырами, играющими на барабанах, возможно, некоторые без них - возможно, некоторые с разумной жизнью, а некоторые без нее - не в нашем прошлом, не в нашем будущем, но каким-то образом фундаментально связанные с нами?	Или, возможно, что мы всего лишь ветвь от мультиселенной — каждая ветка со своим собственным Большим Взрывом в прошлом — может быть, некоторые из них с черными дырами играют на барабанах, может быть, другие без — может быть, некоторые из них имеют разумную жизнь, а, возможно, без — не в нашем прошлом, не в нашем будущем, но как-то фундаментально подключены к нам?
